learning evaluation instances,evaluation time (cpu seconds),average chunk train time,average chunk train speed,average chunk test time,average chunk test speed,model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),labeling cost,newThreshold,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
10000.0,0.733095308,0.0174452597,28661.08092389132,0.008776841300000001,56968.10309194037,1.8439660216743746E-8,10000.0,88.69,77.37998190398552,77.4341580207502,77.24346076458754,10000.0,135912.0,0.3276,0.5,574.4000000000001,371.37976968775956,6630.4,2167.2530078419545,1.4,0.8432740427115678,1.2000000000000002,0.4216370213557839,1.2000000000000002,0.4216370213557839,0.20000000000000004,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.340635989,0.014770983900000001,33850.148601136854,0.00877556035,56976.41860556517,3.4430599270543707E-8,20000.0,88.78,77.55866429169865,77.72262483867766,77.33562266437734,20000.0,131256.0,0.3049,0.5,519.5999999999999,332.0034136370689,6167.2,1768.3456675661578,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.836386042,0.0120375807,41536.585503430935,0.00755926645,66143.9841163424,4.773921836535136E-8,30000.0,88.77666666666667,77.55331657314305,77.65166600292049,77.48729606846751,30000.0,131256.0,0.2963,0.5,535.6999999999999,341.4036548655499,6167.2,1768.3456675661578,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.307063906,0.01126295285,44393.331540937776,0.007260138250000001,68869.21196025432,6.031862779899191E-8,40000.0,88.6375,77.27474740881746,77.4251229324989,77.16998191681736,40000.0,131256.0,0.28985,0.5,519.5999999999999,332.0930927047749,6167.2,1768.3456675661578,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.774002088,0.011403245150000001,43847.16748810754,0.0070699102,70722.25613275824,7.286412484504905E-8,50000.0,88.79,77.57973777261299,77.7949449330481,77.47277038704232,50000.0,131256.0,0.28754,0.5,535.2,342.3425185395469,6167.2,1768.3456675661578,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.229306286,0.01099350195,45481.412772205855,0.0069043772500000005,72417.8274007261,8.501894010969128E-8,60000.0,88.96333333333334,77.92681264401239,78.06921675774136,77.75762461373104,60000.0,131256.0,0.2857,0.5,518.0,332.16963537726724,6167.2,1768.3456675661578,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.723560726,0.01190301715,42006.15639707786,0.0075528492000000004,66200.18310441045,9.715590948401227E-8,70000.0,88.92428571428572,77.84875522061382,77.96378933007418,77.69819353354043,70000.0,120568.0,0.2833428571428571,0.5,503.40000000000003,326.02767435364206,5101.599999999999,1601.3774071092673,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,4.281630935,0.013332427099999999,37502.548954496066,0.008759727200000001,57079.40311200558,1.121134205731377E-7,80000.0,88.955,77.91005239459446,78.0286453152974,77.76043895195185,80000.0,130856.0,0.2813125,0.5,517.0,330.48213937283276,6127.2,1641.8545611594225,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,4.819029881,0.01289208615,38783.482687167736,0.00836461675,59775.60179311264,1.2650528861042527E-7,90000.0,89.11,78.22013913297785,78.27888834714773,78.09783458848243,90000.0,130856.0,0.27963333333333334,0.5,514.6,330.7443457146656,6127.2,1641.8545611594225,1.2000000000000002,0.6324555320336759,1.1,0.31622776601683794,1.1,0.31622776601683794,0.10000000000000002,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,5.459020637,0.01523228405,32825.01812326694,0.01022319155,48908.405712108564,1.4305295544397502E-7,100000.0,89.19500000000001,78.3901222254687,78.44990925227867,78.30103424038558,100000.0,125640.0,0.27802,0.5,499.79999999999995,322.7161807739633,5608.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
